lat;long;formatted_address
-30 0289933;-51 2031926;R. Dr. Florêncio Ygartua, 271 - Moinhos de Vento, Porto Alegre - RS, Brazil
-30 0237575;-51 1828404;Av. Carlos Gomes, 222 - Boa Vista, Porto Alegre - RS, Brazil
-30 0262208;-51 212016;Av. Cristóvão Colombo, 545 - Floresta, Porto Alegre - RS, 90560-003, Brazil
-30 035417;-51 209607;R. Felipe Camarão, 690 - Bonfim, Porto Alegre - RS, 90035-141, Brazil
-30 0013803;-51 164699;R. da Várzea, 400 - Jardim Sao Pedro, Porto Alegre - RS, 91040-600, Brazil
-30 0508538;-51 2180305;Av. Erico Veríssimo, 624 - Azenha, Porto Alegre - RS, 90160-180, Brazil
-30 0231191;-51 1941798;R. Felipe Neri, 148 - Auxiliadora, Porto Alegre - RS, 90440-150, Brazil
-30 0266942;-51 1503036;Rua Pero Vaz de Caminha, 44 - Vila Ipiranga, Porto Alegre - RS, 91320-270, Brazil
-30 0352553;-51 2111729;Rua Fernandes Vieira, 637 - Bom Fim, Porto Alegre - RS, 90035-091, Brazil
-30 0399795;-51 2112327;R. Viêira de Castro, 262 - Farroupilha, Porto Alegre - RS, Brazil
-30 0305471;-51 2271357;R. Mal. Floriano Peixoto, 185 - Centro Histórico, Porto Alegre - RS, 90020-060, Brazil
NA;NA;NA
-30 0295151;-51 2249259;Rua Doutor Flores, 263 - Centro, Porto Alegre - RS, 90020-122, Brazil
-30 0044225;-51 167659;Rua Marquês de Souza, 37 - Jardim Sao Pedro, Porto Alegre - RS, 91040-230, Brazil
-30 0309321;-51 2330392;R. dos Andradas, 870 - Centro Histórico, Porto Alegre - RS, 90020-005, Brazil
-30 0386309;-51 1955003;Av. Neusa Goulart Brizola, 422 - Petrópolis, Porto Alegre - RS, 90460-230, Brazil
-30 0509402;-51 2122675;Av. Princesa Isabel, 57 - Azenha, Porto Alegre - RS, Brazil
-30 0315948;-51 2354512;R. dos Andradas, 630 - Centro Histórico, Porto Alegre - RS, 90020-004, Brazil
-30 0297274;-51 2087376;R. Ramiro Barcelos, 1215 - Independência, Porto Alegre - RS, 90035-006, Brazil
-30 0255639;-51 2083465;R. Ramiro Barcelos, 910 - Floresta, Porto Alegre - RS, Brazil
-30 0574986;-51 2292701;Av. Praia de Belas, 2124 - Praia de Belas, Porto Alegre - RS, Brazil
-30 05529;-51 196898;R. Evaristo da Veiga, 151 - Paternon, Porto Alegre - RS, 90620-230, Brazil
-30 0306302;-51 2236249;Rua Professor Annes Dias, 112 - Centro Histórico, Porto Alegre - RS, 90020-090, Brazil
-30 0276338;-51 2261597;R. Voluntários da Pátria, 45 - Centro Histórico, Porto Alegre - RS, 90030-002, Brazil
-30 0302561;-51 2038247;R. Mariante, 288 - Rio Branco, Porto Alegre - RS, 90430-180, Brazil
-30 1033095;-51 234099;Av. Otto Niemeyer, 2531 - Tristeza, Porto Alegre - RS, Brazil
-30 049779;-51 2284706;Av. Praia de Belas, 1181 - Praia de Belas, Porto Alegre - RS, 90110-001, Brazil
-30 0189737;-51 2055054;Av. Cristóvão Colombo, 1501 - Floresta, Porto Alegre - RS, 90560-003, Brazil
-30 0220509;-51 2106477;R. Gaspar Martins, 443 - Floresta, Porto Alegre - RS, 90220-160, Brazil
-30 0288528;-51 2243987;Rua Doutor Flores, 190 - Centro Histórico, Porto Alegre - RS, 90020-121, Brazil
-29 9994256;-51 1562012;Rua Conselheiro d'Ávila, 691 - Jardim Floresta, Porto Alegre - RS, Brazil
-30 0061338;-51 1956239;Av. Cairú, 1167 - Navegantes, Porto Alegre - RS, 90230-031, Brazil
-30 0289553;-51 2268245;R. Mal. Floriano Peixoto, 13 - Centro Histórico, Porto Alegre - RS, 90020-061, Brazil
-30 0060542;-51 2058323;Av. Rio Grande, 432 - Navegantes, Porto Alegre - RS, 90230-230, Brazil
-30 1286759;-51 2187891;Av. Eduardo Prado, 1280 - Cavalhada, Porto Alegre - RS, Brazil
